SortOrder,ButtonLabel,RowNum,RowIndex
1,ALL,1,0
2,QB,1,1
3,RB,1,2
4,WR,1,3
5,TE,1,4
6,OT,2,0
7,OG,2,1
8,OC,2,2
9,DT,2,3
10,ED,3,0
11,LB,3,1
12,CB,3,2
13,DS,3,3
